keep,place_id,name,rating,review_count,price_level,primary_type,types,areas,queries,address,maps_url
"","ChIJ-0s2l26HMEARh23vAh_ugnA","Em-iş","4.8","16","","Restaurant","Restaurant|Restaurant","centre","Asian restaurant","EMIS, Mir Cəlal, Bakı, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Em-i%C5%9F&query_place_id=ChIJ-0s2l26HMEARh23vAh_ugnA"
"","ChIJS-wIhe19MEARgGrGBH8KGf0","On Off House","4.8","16","","Dance club","Dance club|Dance club|Disco club","centre","cocktail bar","20 Tarlan Aliyarbeyov St, Baku 1005, Azerbaijan","https://www.google.com/maps/search/?api=1&query=On%20Off%20House&query_place_id=ChIJS-wIhe19MEARgGrGBH8KGf0"
"","ChIJTZiEWQCHMEARCFjT3s6hkZ4","Caffe dei Fiori","4.8","16","","Italian restaurant","Italian restaurant|Italian restaurant|Coffee shop","centre","Italian restaurant","Ataturk avenue, Baku, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Caffe%20dei%20Fiori&query_place_id=ChIJTZiEWQCHMEARCFjT3s6hkZ4"
"","ChIJHxpJC1p9MEARz3YX6JF2fhM","The 15th Restaurant & Terrace","4.5","16","","Fine dining restaurant","Fine dining restaurant|Fine dining restaurant","centre","romantic restaurant","str. 210 M.Aliyev, Baku 1014, Azerbaijan","https://www.google.com/maps/search/?api=1&query=The%2015th%20Restaurant%20%26%20Terrace&query_place_id=ChIJHxpJC1p9MEARz3YX6JF2fhM"
"","ChIJGT9GtaF9MEARn_MgA_U9Yxc","Basement Music Bar","4.4","16","","Live music bar","Live music bar|Live music bar","centre","live music restaurant","8A, Səbail ray, Hacı Zeynalabdin küç, Baku 1000, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Basement%20Music%20Bar&query_place_id=ChIJGT9GtaF9MEARn_MgA_U9Yxc"
"","ChIJPcUR_4bzMEARGxDu2ICx6w0","Costa Coffee Sea Breeze","4.4","16","","Coffee shop","Coffee shop|Coffee shop","centre","coffee shop","Sea Breeze, Baku, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Costa%20Coffee%20Sea%20Breeze&query_place_id=ChIJPcUR_4bzMEARGxDu2ICx6w0"
"","ChIJDxuKlKfxMEARlgkmWmDkYI4","Olivano Restaurant","4.1","16","","Restaurant","Restaurant|Restaurant","centre|Mardakan, Azerbaijan","restaurant","Mərdəkan Buzovna yolu, Bakı 1009, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Olivano%20Restaurant&query_place_id=ChIJDxuKlKfxMEARlgkmWmDkYI4"
"","ChIJ42pOvSVfMEARlqljxa6cjVg","Adem kabab evi sagan","5","15","","Kebab shop","Kebab shop|Kebab shop","centre","kebab","Yeni unvan, Bakı 1191, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Adem%20kabab%20evi%20sagan&query_place_id=ChIJ42pOvSVfMEARlqljxa6cjVg"
"","ChIJ5UUq1-99MEARwKbg92u4SiQ","Pane Amore e Fantasia Baku","5","15","","Restaurant","Restaurant|Restaurant","centre","Italian restaurant","65 Khagani Street, Baku 1010, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Pane%20Amore%20e%20Fantasia%20Baku&query_place_id=ChIJ5UUq1-99MEARwKbg92u4SiQ"
"","ChIJIe_IHryJOkARvG8qu9ms_CU","Sushi Mix Roll","4.9","15","","Asian restaurant","Asian restaurant|Asian restaurant","centre","family restaurant","Rovsen Rzayev 86 Bakı, qəsəbəsi 1083, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Sushi%20Mix%20Roll&query_place_id=ChIJIe_IHryJOkARvG8qu9ms_CU"
"","ChIJ-9JCaQBjMEAR8CWtFngNNyA","Peçat Dönər","4.8","15","","Turkish restaurant","Turkish restaurant|Turkish restaurant","centre","Turkish restaurant","CXHP+RPF, Baku, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Pe%C3%A7at%20D%C3%B6n%C9%99r&query_place_id=ChIJ-9JCaQBjMEAR8CWtFngNNyA"
"","ChIJfzZctkhZMEARFVRsEHYx714","Top Qapı Restoran","4.7","15","","Restaurant","Restaurant|Restaurant","centre","breakfast","Hacı Zeynalabdin Tağıyev 86, Mərdəkan, Bakı 1044, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Top%20Qap%C4%B1%20Restoran&query_place_id=ChIJfzZctkhZMEARFVRsEHYx714"
"","ChIJ0zzCZ2P1MEARp5AwJn0oFE4","Köz Dönər Bəhruz","4.4","15","","Restaurant","Restaurant|Restaurant","centre","fine dining restaurant","31 Heydər Eyvazov, Baku, Azerbaijan","https://www.google.com/maps/search/?api=1&query=K%C3%B6z%20D%C3%B6n%C9%99r%20B%C9%99hruz&query_place_id=ChIJ0zzCZ2P1MEARp5AwJn0oFE4"
"","ChIJx0Cnq7Z9MEARbaNvRYiF_ko","Old Tbilisi Restaurant","4.3","15","","Georgian restaurant","Georgian restaurant|Georgian restaurant","centre","Georgian restaurant","9 Tarlan Aliyarbeyov St, Baku 1005, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Old%20Tbilisi%20Restaurant&query_place_id=ChIJx0Cnq7Z9MEARbaNvRYiF_ko"
"","ChIJ0S53wTN9MEARqAPPQ6Qcgk4","Level Karaoke Rooms","4.2","15","","Restaurant","Restaurant|Restaurant","centre","karaoke","146 Salatın Əsgərova, Baku 1010, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Level%20Karaoke%20Rooms&query_place_id=ChIJ0S53wTN9MEARqAPPQ6Qcgk4"
"","ChIJbYJgk2VfMEARno1Sx2zOcDo","Qala Park Restoran","3.8","15","","Restaurant","Restaurant|Restaurant","Mardakan, Azerbaijan","restaurant","F5P7+R87, Mardakan, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Qala%20Park%20Restoran&query_place_id=ChIJbYJgk2VfMEARno1Sx2zOcDo"
"","ChIJtx4COhzzMEARfBZjeqjsb2k","L’azure Restaurant","3.6","15","","Restaurant","Restaurant|Restaurant","centre","sea view restaurant","CaspiMayr, Sea Breeze Resort, Nardaran, Azerbaijan","https://www.google.com/maps/search/?api=1&query=L%E2%80%99azure%20Restaurant&query_place_id=ChIJtx4COhzzMEARfBZjeqjsb2k"
"","ChIJHbcFBULxMEARPwCYKdjgkBM","Hill Amburan","2.3","15","","Restaurant","Restaurant|Restaurant","centre","live music restaurant","Mardakan-Buzovna-Bilgah soshessi, Baku, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Hill%20Amburan&query_place_id=ChIJHbcFBULxMEARPwCYKdjgkBM"
"","ChIJFcmrbpV9MEARzITLImcBCf4","Josbeer","5","14","","Restaurant","Restaurant|Restaurant","centre","restaurant with private rooms","93 Ataturk avenue, Baku 1106, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Josbeer&query_place_id=ChIJFcmrbpV9MEARzITLImcBCf4"
"","ChIJSx-xVgBfMEAR05oXRK-RpwQ","Cuppa Coffee","4.9","14","","Coffee shop","Coffee shop|Coffee shop","centre","coffee shop","G522+9J4, Haji Zeynalabdin Tagiyev, Mardakan, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Cuppa%20Coffee&query_place_id=ChIJSx-xVgBfMEAR05oXRK-RpwQ"
"","ChIJVfkaGn6HMEARRh5dV-QcaDU","Ortaköy Restaurant Baku","4.7","14","","Turkish restaurant","Turkish restaurant|Turkish restaurant|Cafe|Doner kebab restaurant|Restaurant","centre","Turkish restaurant","22A Asif Maharramov, Baku, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Ortak%C3%B6y%20Restaurant%20Baku&query_place_id=ChIJVfkaGn6HMEARRh5dV-QcaDU"
"","ChIJx69saGeHMEARPI5Q3f5uEYA","Padishah Dessert Nakhchivani","4.6","14","","Cake shop","Cake shop|Cake shop","centre","dessert","Ajami Nakhchivani, Baku, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Padishah%20Dessert%20Nakhchivani&query_place_id=ChIJx69saGeHMEARPI5Q3f5uEYA"
